,step,batch accuracy,validation accuracy,loss
,8100,91.40625,89.88326848,0.502464
,8150,92.1875,89.88326848,0.391138
,8200,85.15625,88.71595331,0.863334
,8250,87.5,89.10505837,0.400347
,8300,95.3125,91.82879377,0.270764
,8350,87.5,91.05058366,0.458817
,8400,91.40625,90.27237354,0.399692
,8450,92.1875,90.6614786,0.371193
,8500,91.40625,89.88326848,0.453082
,8550,90.625,89.88326848,0.372621
,8600,93.75,89.49416342,0.304559
,8650,88.28125,91.05058366,0.555319
,8700,85.9375,90.27237354,0.534283
,8750,92.96875,91.05058366,0.287623
,8800,95.3125,91.82879377,0.258759
,8850,89.0625,89.49416342,0.43022
,8900,89.84375,89.88326848,0.368637
,8950,90.625,91.82879377,0.549074
,9000,85.9375,91.05058366,0.448995
,9050,92.96875,90.6614786,0.300675
,9100,90.625,90.6614786,0.379682
,9150,88.28125,91.05058366,0.509344
,9200,92.1875,91.82879377,0.397653
,9250,87.5,91.43968872,0.420553
,9300,89.84375,91.05058366,0.411453
,9350,92.96875,89.88326848,0.340429
,9400,95.3125,91.05058366,0.350247
,9450,91.40625,89.88326848,0.481233
,9500,89.0625,91.43968872,0.423074
,9550,95.3125,91.82879377,0.300095
,9600,92.96875,92.60700389,0.317987
,9650,92.1875,90.27237354,0.435372
,9700,92.96875,91.43968872,0.451818
,9750,90.625,91.43968872,0.395017
,9800,92.96875,91.05058366,0.319114
,9850,88.28125,89.49416342,0.437556
,9900,92.96875,89.88326848,0.499875
,9950,90.625,90.27237354,0.386334
,10000,92.96875,91.05058366,0.366547
test accuracy,90.81948371,,,
